outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
weight,Patient characteristics,NA,"CL, V",Eyler,2014,https://dx.doi.org/10.1128/AAC.02090-12,USA,prospective PK study,8,RRT,impaired,CRRT,ertapenem
creatinine clearance,Physiological parameters,yes,CL,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
weight,Patient characteristics,NA,V,Felton,2014,https://dx.doi.org/10.1128/AAC.02664-14,UK,retrospective PK study,146,no,unclear,general ICU,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
ECMO,Organ dysfunction/support,no,NA,Fillatre,2021,https://dx.doi.org/10.1093/jac/dkab031,France,prospective PK study,42,"ECMO, RRT",impaired,ECMO,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
weight,Patient characteristics,yes,V,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
serum albumin,Biomarkers,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
serum creatinine,Biomarkers,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
sex,Patient characteristics,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
TBSA,Patient characteristics,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
weight,Patient characteristics,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
weight,Patient characteristics,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
weight,Patient characteristics,no,NA,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
body size,Patient characteristics,no,NA,Fratoni,2022,https://dx.doi.org/10.1093/jac/dkac261,USA,prospective PK study,9,no,augmented,augmented renal clearance,imipenem
creatinine clearance,Physiological parameters,yes,CL,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
creatinine clearance,Physiological parameters,yes,CL,Cojutti,2021,https://dx.doi.org/10.3389/fphar.2021.781892,Italy,retrospective PK study,74,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
weight,Patient characteristics,yes,V,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
age,Patient characteristics,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
bacteraemia,Other,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
cirrhosis,Organ dysfunction/support,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
SAPS,Disease severity score,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
sepsis,Organ dysfunction/support,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
sepsis,Organ dysfunction/support,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
sex,Patient characteristics,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
SOFA,Disease severity score,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
surgical drain,Other,no,NA,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
creatinine clearance,Physiological parameters,yes,CL,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
age,Patient characteristics,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
CRRT,Organ dysfunction/support,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
fluid balance,Physiological parameters,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
haematocrit,Biomarkers,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
mechanical ventilation,Organ dysfunction/support,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
SAPS,Disease severity score,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
sepsis,Organ dysfunction/support,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
sepsis,Organ dysfunction/support,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
sepsis,Organ dysfunction/support,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
serum albumin,Biomarkers,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
serum bilirubin,Biomarkers,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
serum creatinine,Biomarkers,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
SOFA,Disease severity score,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
vasopressor use,Organ dysfunction/support,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
weight,Patient characteristics,no,NA,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
creatinine clearance,Physiological parameters,yes,CL,Crandon,2011,https://dx.doi.org/10.1007/s00134-010-2105-0,USA,prospective PK study,26,no,unclear,general ICU,meropenem
SAPS,Disease severity score,yes,CL,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
mechanical ventilation,Organ dysfunction/support,yes,"CL, V",Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
diagnosis,Patient characteristics,yes,"CL, V",Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
age,Patient characteristics,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
BUN,Biomarkers,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
CRP,Biomarkers,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
haemoglobin,Biomarkers,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
height,Patient characteristics,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
SAPS,Disease severity score,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
serum creatinine,Biomarkers,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
serum protein,Biomarkers,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
sex,Patient characteristics,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
weight,Patient characteristics,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
white cell count,Biomarkers,no,NA,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
creatinine clearance,Physiological parameters,yes,CL,Dhaese,2018,https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,Belgium,prospective PK study,110,no,normal,general ICU,piperacillin
age,Patient characteristics,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
APACHE,Disease severity score,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
ARC,Physiological parameters,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
BMI,Patient characteristics,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
fluid balance,Physiological parameters,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
GFR,Physiological parameters,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
serum creatinine,Biomarkers,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
SOFA,Disease severity score,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
weight,Patient characteristics,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
weight,Patient characteristics,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
weight,Patient characteristics,no,NA,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
Charlson comorbidity index,Patient characteristics,no,NA,Goncalves-Pereira,2014,https://dx.doi.org/10.1186/2050-6511-15-21,Portugal,prospective PK study,15,no,normal,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Dhaese,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,Belgium,prospective PK study,17,no,normal,general ICU,piperacillin
SOFA,Disease severity score,no,NA,Goncalves-Pereira,2014,https://dx.doi.org/10.1186/2050-6511-15-21,Portugal,prospective PK study,15,no,normal,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
ECMO,Organ dysfunction/support,yes,CL,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
CRRT,Organ dysfunction/support,yes,V,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
serum bilirubin,Biomarkers,yes,V,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
age,Patient characteristics,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
BUN,Biomarkers,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
GFR,Physiological parameters,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
serum creatinine,Biomarkers,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
serum protein,Biomarkers,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
sex,Patient characteristics,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
weight,Patient characteristics,no,NA,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
age,Patient characteristics,no,NA,Hanberg,2018,https://dx.doi.org/10.1128/AAC.02390-17,Denmark,prospective PK study,10,"ECMO, RRT",impaired,ECMO,meropenem
CRRT,Organ dysfunction/support,no,NA,Hanberg,2018,https://dx.doi.org/10.1128/AAC.02390-17,Denmark,prospective PK study,10,"ECMO, RRT",impaired,ECMO,meropenem
serum albumin,Biomarkers,no,NA,Hanberg,2018,https://dx.doi.org/10.1128/AAC.02390-17,Denmark,prospective PK study,10,"ECMO, RRT",impaired,ECMO,meropenem
sex,Patient characteristics,no,NA,Hanberg,2018,https://dx.doi.org/10.1128/AAC.02390-17,Denmark,prospective PK study,10,"ECMO, RRT",impaired,ECMO,meropenem
weight,Patient characteristics,no,NA,Hanberg,2018,https://dx.doi.org/10.1128/AAC.02390-17,Denmark,prospective PK study,10,"ECMO, RRT",impaired,ECMO,meropenem
creatinine clearance,Physiological parameters,yes,CL,Economou,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,Australia,prospective PK study,6,RRT,impaired,CRRT,ticarcillin
age,Patient characteristics,no,NA,Heffernan,2022,https://dx.doi.org/10.1128/aac.02189-21,Australia,retrospective PK study,36,no,normal,sepsis,ceftriaxone
serum albumin,Biomarkers,no,NA,Heffernan,2022,https://dx.doi.org/10.1128/aac.02189-21,Australia,retrospective PK study,36,no,normal,sepsis,ceftriaxone
sex,Patient characteristics,no,NA,Heffernan,2022,https://dx.doi.org/10.1128/aac.02189-21,Australia,retrospective PK study,36,no,normal,sepsis,ceftriaxone
weight,Patient characteristics,no,NA,Heffernan,2022,https://dx.doi.org/10.1128/aac.02189-21,Australia,retrospective PK study,36,no,normal,sepsis,ceftriaxone
creatinine clearance,Physiological parameters,yes,CL,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
BMI,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
BSA,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
CKD,Organ dysfunction/support,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
comorbidity,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
CRP,Biomarkers,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
days in ICU,Other,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
diagnosis,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
height,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
liver disease,Organ dysfunction/support,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
mechanical ventilation,Organ dysfunction/support,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
mortality,Other,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
procalcitonin,Biomarkers,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
re-admission,Other,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
SAPS,Disease severity score,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
serum creatinine,Biomarkers,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
SOFA,Disease severity score,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
SOFA,Disease severity score,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
vasopressor use,Organ dysfunction/support,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
white cell count,Biomarkers,no,NA,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Eisert,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106289,Germany,prospective PK study,32,RRT,impaired,septic shock,meropenem
CRRT parameters,Extracorporeal parameters,yes,CL,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
patient type,Patient characteristics,yes,"CL, V",Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
age,Patient characteristics,no,NA,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
unbound drug fraction,Other,no,NA,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
weight,Patient characteristics,no,NA,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
creatinine clearance,Physiological parameters,yes,CL,Felton,2018,https://dx.doi.org/10.1093/jac/dkx541,UK,retrospective PK study,53,no,normal,VAP,piperacillin
serum albumin,Biomarkers,yes,Bmax,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
GFR,Physiological parameters,yes,CL,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
age,Patient characteristics,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
BMI,Patient characteristics,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
creatinine clearance,Physiological parameters,yes,CL,Fournier,2018,https://dx.doi.org/10.1128/AAC.00505-18,Switzerland,prospective PK study,21,no,unclear,burns,amoxicillin
CRRT,Organ dysfunction/support,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
serum creatinine,Biomarkers,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
sex,Patient characteristics,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
weight,Patient characteristics,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
creatinine clearance,Physiological parameters,yes,CL,Frippiat,2015,https://dx.doi.org/10.1093/jac/dku354,Belgium,prospective PK study,55,RRT,impaired,pneumonia,meropenem
age,Patient characteristics,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
APACHE,Disease severity score,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
BMI,Patient characteristics,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
BP,Vital signs,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
BP,Vital signs,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
BUN,Biomarkers,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
fluid balance,Physiological parameters,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
pH,Biomarkers,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
serum albumin,Biomarkers,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
serum creatinine,Biomarkers,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
SOFA,Disease severity score,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
urine output,Physiological parameters,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
weight,Patient characteristics,no,NA,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
APACHE,Disease severity score,yes,"CL, K10",Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
creatinine clearance,Physiological parameters,yes,CL,Garot,2011,https://dx.doi.org/10.1111/j.1365-2125.2011.04005.x,France,prospective PK study,54,RRT,impaired,sepsis,ceftriaxone
SOFA,Disease severity score,yes,"t1/2β, K10, Cmin",Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
age,Patient characteristics,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
BMI,Patient characteristics,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
concomitant medications,Other,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
